Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage
07_2015,CA,H_COMP_2,6,16,78
07_2015,CA,H_COMP_3,12,26,62
07_2015,CA,H_COMP_5,20,18,62
07_2015,CA,H_COMP_6,16,0,84
07_2015,CA,H_COMP_7,7,44,49
07_2015,CA,H_HSP_RATING,9,23,68
07_2015,CA,H_QUIET_HSP,16,32,52
07_2015,CA,H_RECMND,6,24,70
07_2015,CO,H_CLEAN_HSP,7,18,75
07_2015,CO,H_COMP_1,4,17,79
07_2015,CO,H_COMP_2,4,15,81
07_2015,CO,H_COMP_3,7,24,69
07_2015,CO,H_COMP_5,16,17,67
07_2015,CO,H_COMP_6,12,0,88
07_2015,CO,H_COMP_7,5,40,55
07_2015,CO,H_HSP_RATING,6,20,74
07_2015,CO,H_QUIET_HSP,8,29,63
07_2015,CO,H_RECMND,4,22,74
07_2015,CT,H_CLEAN_HSP,8,20,72
07_2015,CT,H_COMP_1,4,17,79
07_2015,CT,H_COMP_2,5,15,80
07_2015,CT,H_COMP_3,10,25,65
07_2015,CT,H_COMP_5,19,18,63
07_2015,CT,H_COMP_6,14,0,86
07_2015,CT,H_COMP_7,5,45,50
07_2015,CT,H_HSP_RATING,8,24,68
07_2015,CT,H_QUIET_HSP,15,33,52
07_2015,CT,H_RECMND,5,24,71
07_2015,DC,H_CLEAN_HSP,16,21,63
07_2015,DC,H_COMP_1,10,20,70
07_2015,DC,H_COMP_2,7,16,77
07_2015,DC,H_COMP_3,19,27,54
07_2015,DC,H_COMP_5,25,18,57
07_2015,DC,H_COMP_6,21,0,79
07_2015,DC,H_COMP_7,9,49,42
07_2015,DC,H_HSP_RATING,14,28,58
07_2015,DC,H_QUIET_HSP,16,30,54
07_2015,DC,H_RECMND,10,29,61
07_2015,DE,H_CLEAN_HSP,10,20,70
07_2015,DE,H_COMP_1,4,17,79
07_2015,DE,H_COMP_2,5,17,78
07_2015,DE,H_COMP_3,9,24,67
07_2015,DE,H_COMP_5,20,17,63
07_2015,DE,H_COMP_6,14,0,86
07_2015,DE,H_COMP_7,5,45,50
07_2015,DE,H_HSP_RATING,9,25,66
07_2015,DE,H_QUIET_HSP,14,32,54
07_2015,DE,H_RECMND,5,28,67
07_2015,FL,H_CLEAN_HSP,11,19,70
07_2015,FL,H_COMP_1,6,18,76
07_2015,FL,H_COMP_2,6,16,78
07_2015,FL,H_COMP_3,12,26,62
07_2015,FL,H_COMP_5,22,17,61
07_2015,FL,H_COMP_6,16,0,84
07_2015,FL,H_COMP_7,7,44,49
07_2015,FL,H_HSP_RATING,10,23,67
07_2015,FL,H_QUIET_HSP,12,29,59
07_2015,FL,H_RECMND,7,24,69
07_2015,GA,H_CLEAN_HSP,10,18,72
07_2015,GA,H_COMP_1,5,16,79
07_2015,GA,H_COMP_2,4,13,83
07_2015,GA,H_COMP_3,11,23,66
07_2015,GA,H_COMP_5,20,16,64
07_2015,GA,H_COMP_6,16,0,84
07_2015,GA,H_COMP_7,6,44,50
07_2015,GA,H_HSP_RATING,9,22,69
07_2015,GA,H_QUIET_HSP,7,26,67
07_2015,GA,H_RECMND,6,25,69
07_2015,HI,H_CLEAN_HSP,6,19,75
07_2015,HI,H_COMP_1,4,17,79
07_2015,HI,H_COMP_2,4,15,81
07_2015,HI,H_COMP_3,9,23,68
07_2015,HI,H_COMP_5,16,18,66
07_2015,HI,H_COMP_6,15,0,85
07_2015,HI,H_COMP_7,4,43,53
07_2015,HI,H_HSP_RATING,8,21,71
07_2015,HI,H_QUIET_HSP,11,31,58
07_2015,HI,H_RECMND,4,24,72
07_2015,IA,H_CLEAN_HSP,5,15,80
07_2015,IA,H_COMP_1,2,16,82
07_2015,IA,H_COMP_2,3,13,84
07_2015,IA,H_COMP_3,5,24,71
07_2015,IA,H_COMP_5,14,19,67
07_2015,IA,H_COMP_6,12,0,88
07_2015,IA,H_COMP_7,3,41,56
07_2015,IA,H_HSP_RATING,5,19,76
07_2015,IA,H_QUIET_HSP,6,29,65
07_2015,IA,H_RECMND,3,22,75
07_2015,ID,H_CLEAN_HSP,6,15,79
07_2015,ID,H_COMP_1,3,16,81
07_2015,ID,H_COMP_2,3,13,84
07_2015,ID,H_COMP_3,6,21,73
07_2015,ID,H_COMP_5,15,17,68
07_2015,ID,H_COMP_6,12,0,88
07_2015,ID,H_COMP_7,5,39,56
07_2015,ID,H_HSP_RATING,6,20,74
07_2015,ID,H_QUIET_HSP,8,28,64
07_2015,ID,H_RECMND,3,22,75
07_2015,IL,H_CLEAN_HSP,8,18,74
07_2015,IL,H_COMP_1,4,16,80
07_2015,IL,H_COMP_2,4,14,82
07_2015,IL,H_COMP_3,9,23,68
07_2015,IL,H_COMP_5,18,18,64
07_2015,IL,H_COMP_6,14,0,86
07_2015,IL,H_COMP_7,5,43,52
07_2015,IL,H_HSP_RATING,8,21,71
07_2015,IL,H_QUIET_HSP,9,30,61
07_2015,IL,H_RECMND,5,25,70
07_2015,IN,H_CLEAN_HSP,7,17,76
07_2015,IN,H_COMP_1,3,15,82
07_2015,IN,H_COMP_2,3,14,83
07_2015,IN,H_COMP_3,6,23,71
07_2015,IN,H_COMP_5,16,18,66
07_2015,IN,H_COMP_6,12,0,88
07_2015,IN,H_COMP_7,4,42,54
07_2015,IN,H_HSP_RATING,6,19,75
07_2015,IN,H_QUIET_HSP,8,30,62
07_2015,IN,H_RECMND,4,23,73
07_2015,KS,H_CLEAN_HSP,7,17,76
07_2015,KS,H_COMP_1,3,16,81
07_2015,KS,H_COMP_2,3,11,86
07_2015,KS,H_COMP_3,6,22,72
07_2015,KS,H_COMP_5,15,17,68
07_2015,KS,H_COMP_6,13,0,87
07_2015,KS,H_COMP_7,4,40,56
07_2015,KS,H_HSP_RATING,5,18,77
07_2015,KS,H_QUIET_HSP,6,27,67
07_2015,KS,H_RECMND,3,21,76
07_2015,KY,H_CLEAN_HSP,8,16,76
07_2015,KY,H_COMP_1,4,15,81
07_2015,KY,H_COMP_2,3,12,85
07_2015,KY,H_COMP_3,8,23,69
07_2015,KY,H_COMP_5,17,16,67
07_2015,KY,H_COMP_6,13,0,87
07_2015,KY,H_COMP_7,5,42,53
07_2015,KY,H_HSP_RATING,7,21,72
07_2015,KY,H_QUIET_HSP,7,27,66
07_2015,KY,H_RECMND,5,24,71
07_2015,LA,H_CLEAN_HSP,9,16,75
07_2015,LA,H_COMP_1,4,12,84
07_2015,LA,H_COMP_2,3,10,87
07_2015,LA,H_COMP_3,9,18,73
07_2015,LA,H_COMP_5,16,15,69
07_2015,LA,H_COMP_6,14,0,86
07_2015,LA,H_COMP_7,5,37,58
07_2015,LA,H_HSP_RATING,6,18,76
07_2015,LA,H_QUIET_HSP,6,21,73
07_2015,LA,H_RECMND,4,21,75
07_2015,MA,H_CLEAN_HSP,8,19,73
07_2015,MA,H_COMP_1,5,15,80
07_2015,MA,H_COMP_2,5,15,80
07_2015,MA,H_COMP_3,10,24,66
07_2015,MA,H_COMP_5,18,18,64
07_2015,MA,H_COMP_6,12,0,88
07_2015,MA,H_COMP_7,4,44,52
07_2015,MA,H_HSP_RATING,8,22,70
07_2015,MA,H_QUIET_HSP,15,33,52
07_2015,MA,H_RECMND,4,22,74
07_2015,MD,H_CLEAN_HSP,13,21,66
07_2015,MD,H_COMP_1,6,18,76
07_2015,MD,H_COMP_2,5,17,78
07_2015,MD,H_COMP_3,13,27,60
07_2015,MD,H_COMP_5,22,18,60
07_2015,MD,H_COMP_6,14,0,86
07_2015,MD,H_COMP_7,7,45,48
07_2015,MD,H_HSP_RATING,10,25,65
07_2015,MD,H_QUIET_HSP,12,31,57
07_2015,MD,H_RECMND,6,27,67
07_2015,ME,H_CLEAN_HSP,5,14,81
07_2015,ME,H_COMP_1,3,14,83
07_2015,ME,H_COMP_2,4,12,84
07_2015,ME,H_COMP_3,6,22,72
07_2015,ME,H_COMP_5,14,17,69
07_2015,ME,H_COMP_6,11,0,89
07_2015,ME,H_COMP_7,4,38,58
07_2015,ME,H_HSP_RATING,6,19,75
07_2015,ME,H_QUIET_HSP,9,31,60
07_2015,ME,H_RECMND,4,20,76
07_2015,MI,H_CLEAN_HSP,8,19,73
07_2015,MI,H_COMP_1,4,16,80
07_2015,MI,H_COMP_2,4,15,81
07_2015,MI,H_COMP_3,7,23,70
07_2015,MI,H_COMP_5,18,18,64
07_2015,MI,H_COMP_6,12,0,88
07_2015,MI,H_COMP_7,5,43,52
07_2015,MI,H_HSP_RATING,7,21,72
07_2015,MI,H_QUIET_HSP,9,31,60
07_2015,MI,H_RECMND,5,24,71
07_2015,MN,H_CLEAN_HSP,5,17,78
07_2015,MN,H_COMP_1,2,17,81
07_2015,MN,H_COMP_2,3,13,84
07_2015,MN,H_COMP_3,5,22,73
07_2015,MN,H_COMP_5,14,20,66
07_2015,MN,H_COMP_6,12,0,88
07_2015,MN,H_COMP_7,4,41,55
07_2015,MN,H_HSP_RATING,6,20,74
07_2015,MN,H_QUIET_HSP,6,28,66
07_2015,MN,H_RECMND,3,23,74
07_2015,MO,H_CLEAN_HSP,9,18,73
07_2015,MO,H_COMP_1,4,17,79
07_2015,MO,H_COMP_2,4,14,82
07_2015,MO,H_COMP_3,8,25,67
07_2015,MO,H_COMP_5,17,18,65
07_2015,MO,H_COMP_6,13,0,87
07_2015,MO,H_COMP_7,5,42,53
07_2015,MO,H_HSP_RATING,7,22,71
07_2015,MO,H_QUIET_HSP,8,30,62
07_2015,MO,H_RECMND,5,24,71
07_2015,MS,H_CLEAN_HSP,9,17,74
07_2015,MS,H_COMP_1,5,14,81
07_2015,MS,H_COMP_2,3,10,87
07_2015,MS,H_COMP_3,11,20,69
07_2015,MS,H_COMP_5,18,15,67
07_2015,MS,H_COMP_6,16,0,84
07_2015,MS,H_COMP_7,5,42,53
07_2015,MS,H_HSP_RATING,8,20,72
07_2015,MS,H_QUIET_HSP,6,22,72
07_2015,MS,H_RECMND,5,25,70
07_2015,MT,H_CLEAN_HSP,10,18,72
07_2015,MT,H_COMP_1,3,18,79
07_2015,MT,H_COMP_2,4,13,83
07_2015,MT,H_COMP_3,7,24,69
07_2015,MT,H_COMP_5,18,17,65
07_2015,MT,H_COMP_6,17,0,83
07_2015,MT,H_COMP_7,5,44,51
07_2015,MT,H_HSP_RATING,8,24,68
07_2015,MT,H_QUIET_HSP,8,30,62
07_2015,MT,H_RECMND,4,27,69
07_2015,NC,H_CLEAN_HSP,9,19,72
07_2015,NC,H_COMP_1,4,16,80
07_2015,NC,H_COMP_2,4,13,83
07_2015,NC,H_COMP_3,9,23,68
07_2015,NC,H_COMP_5,18,16,66
07_2015,NC,H_COMP_6,14,0,86
07_2015,NC,H_COMP_7,5,43,52
07_2015,NC,H_HSP_RATING,8,22,70
07_2015,NC,H_QUIET_HSP,9,29,62
07_2015,NC,H_RECMND,5,25,70
07_2015,ND,H_CLEAN_HSP,8,19,73
07_2015,ND,H_COMP_1,4,18,78
07_2015,ND,H_COMP_2,4,15,81
07_2015,ND,H_COMP_3,7,24,69
07_2015,ND,H_COMP_5,18,19,63
07_2015,ND,H_COMP_6,18,0,82
07_2015,ND,H_COMP_7,5,46,49
07_2015,ND,H_HSP_RATING,9,24,67
07_2015,ND,H_QUIET_HSP,8,30,62
07_2015,ND,H_RECMND,5,26,69
07_2015,NE,H_CLEAN_HSP,5,15,80
07_2015,NE,H_COMP_1,3,14,83
07_2015,NE,H_COMP_2,2,13,85
07_2015,NE,H_COMP_3,5,20,75
07_2015,NE,H_COMP_5,14,20,66
07_2015,NE,H_COMP_6,12,0,88
07_2015,NE,H_COMP_7,4,39,57
07_2015,NE,H_HSP_RATING,5,19,76
07_2015,NE,H_QUIET_HSP,5,29,66
07_2015,NE,H_RECMND,3,21,76
07_2015,NH,H_CLEAN_HSP,6,17,77
07_2015,NH,H_COMP_1,3,16,81
07_2015,NH,H_COMP_2,4,14,82
07_2015,NH,H_COMP_3,7,22,71
07_2015,NH,H_COMP_5,15,17,68
07_2015,NH,H_COMP_6,11,0,89
07_2015,NH,H_COMP_7,4,42,54
07_2015,NH,H_HSP_RATING,6,21,73
07_2015,NH,H_QUIET_HSP,10,33,57
07_2015,NH,H_RECMND,4,21,75
07_2015,NJ,H_CLEAN_HSP,10,21,69
07_2015,NJ,H_COMP_1,6,17,77
07_2015,NJ,H_COMP_2,6,16,78
07_2015,NJ,H_COMP_3,13,25,62
07_2015,NJ,H_COMP_5,22,18,60
07_2015,NJ,H_COMP_6,17,0,83
07_2015,NJ,H_COMP_7,7,46,47
07_2015,NJ,H_HSP_RATING,10,25,65
07_2015,NJ,H_QUIET_HSP,15,32,53
07_2015,NJ,H_RECMND,7,26,67
07_2015,NM,H_CLEAN_HSP,10,19,71
07_2015,NM,H_COMP_1,6,18,76
07_2015,NM,H_COMP_2,5,15,80
07_2015,NM,H_COMP_3,10,24,66
07_2015,NM,H_COMP_5,18,18,64
07_2015,NM,H_COMP_6,17,0,83
07_2015,NM,H_COMP_7,7,45,48
07_2015,NM,H_HSP_RATING,11,24,65
07_2015,NM,H_QUIET_HSP,10,28,62
07_2015,NM,H_RECMND,7,31,62
07_2015,NV,H_CLEAN_HSP,10,21,69
07_2015,NV,H_COMP_1,6,22,72
07_2015,NV,H_COMP_2,7,19,74
07_2015,NV,H_COMP_3,12,28,60
07_2015,NV,H_COMP_5,22,19,59
07_2015,NV,H_COMP_6,16,0,84
07_2015,NV,H_COMP_7,7,46,47
07_2015,NV,H_HSP_RATING,11,24,65
07_2015,NV,H_QUIET_HSP,13,33,54
07_2015,NV,H_RECMND,7,27,66
07_2015,NY,H_CLEAN_HSP,9,21,70
07_2015,NY,H_COMP_1,6,18,76
07_2015,NY,H_COMP_2,6,16,78
07_2015,NY,H_COMP_3,13,26,61
07_2015,NY,H_COMP_5,21,18,61
07_2015,NY,H_COMP_6,16,0,84
07_2015,NY,H_COMP_7,6,47,47
07_2015,NY,H_HSP_RATING,11,25,64
07_2015,NY,H_QUIET_HSP,15,33,52
07_2015,NY,H_RECMND,7,27,66
07_2015,OH,H_CLEAN_HSP,7,18,75
07_2015,OH,H_COMP_1,3,16,81
07_2015,OH,H_COMP_2,4,15,81
07_2015,OH,H_COMP_3,7,22,71
07_2015,OH,H_COMP_5,17,18,65
07_2015,OH,H_COMP_6,12,0,88
07_2015,OH,H_COMP_7,4,43,53
07_2015,OH,H_HSP_RATING,7,20,73
07_2015,OH,H_QUIET_HSP,9,31,60
07_2015,OH,H_RECMND,4,24,72
07_2015,OK,H_CLEAN_HSP,8,17,75
07_2015,OK,H_COMP_1,4,16,80
07_2015,OK,H_COMP_2,4,12,84
07_2015,OK,H_COMP_3,8,20,72
07_2015,OK,H_COMP_5,17,17,66
07_2015,OK,H_COMP_6,14,0,86
07_2015,OK,H_COMP_7,5,42,53
07_2015,OK,H_HSP_RATING,7,21,72
07_2015,OK,H_QUIET_HSP,6,26,68
07_2015,OK,H_RECMND,5,25,70
07_2015,OR,H_CLEAN_HSP,7,18,75
07_2015,OR,H_COMP_1,3,18,79
07_2015,OR,H_COMP_2,4,15,81
07_2015,OR,H_COMP_3,7,26,67
07_2015,OR,H_COMP_5,17,18,65
07_2015,OR,H_COMP_6,13,0,87
07_2015,OR,H_COMP_7,5,43,52
07_2015,OR,H_HSP_RATING,7,22,71
07_2015,OR,H_QUIET_HSP,10,34,56
07_2015,OR,H_RECMND,4,24,72
07_2015,PA,H_CLEAN_HSP,8,18,74
07_2015,PA,H_COMP_1,4,16,80
07_2015,PA,H_COMP_2,4,16,80
07_2015,PA,H_COMP_3,8,24,68
07_2015,PA,H_COMP_5,19,17,64
07_2015,PA,H_COMP_6,13,0,87
07_2015,PA,H_COMP_7,5,44,51
07_2015,PA,H_HSP_RATING,8,22,70
07_2015,PA,H_QUIET_HSP,12,32,56
07_2015,PA,H_RECMND,5,25,70
07_2015,RI,H_CLEAN_HSP,8,18,74
07_2015,RI,H_COMP_1,5,15,80
07_2015,RI,H_COMP_2,5,15,80
07_2015,RI,H_COMP_3,10,24,66
07_2015,RI,H_COMP_5,20,17,63
07_2015,RI,H_COMP_6,13,0,87
07_2015,RI,H_COMP_7,5,44,51
07_2015,RI,H_HSP_RATING,8,22,70
07_2015,RI,H_QUIET_HSP,14,32,54
07_2015,RI,H_RECMND,5,23,72
07_2015,SC,H_CLEAN_HSP,10,18,72
07_2015,SC,H_COMP_1,5,14,81
07_2015,SC,H_COMP_2,4,12,84
07_2015,SC,H_COMP_3,10,22,68
07_2015,SC,H_COMP_5,18,16,66
07_2015,SC,H_COMP_6,14,0,86
07_2015,SC,H_COMP_7,6,42,52
07_2015,SC,H_HSP_RATING,8,21,71
07_2015,SC,H_QUIET_HSP,7,25,68
07_2015,SC,H_RECMND,5,25,70
07_2015,SD,H_CLEAN_HSP,6,18,76
07_2015,SD,H_COMP_1,3,15,82
07_2015,SD,H_COMP_2,3,13,84
07_2015,SD,H_COMP_3,5,21,74
07_2015,SD,H_COMP_5,13,18,69
07_2015,SD,H_COMP_6,12,0,88
07_2015,SD,H_COMP_7,4,41,55
07_2015,SD,H_HSP_RATING,7,18,75
07_2015,SD,H_QUIET_HSP,5,24,71
07_2015,SD,H_RECMND,4,20,76
07_2015,TN,H_CLEAN_HSP,9,18,73
07_2015,TN,H_COMP_1,5,15,80
07_2015,TN,H_COMP_2,4,13,83
07_2015,TN,H_COMP_3,9,22,69
07_2015,TN,H_COMP_5,18,17,65
07_2015,TN,H_COMP_6,14,0,86
07_2015,TN,H_COMP_7,6,43,51
07_2015,TN,H_HSP_RATING,8,21,71
07_2015,TN,H_QUIET_HSP,7,25,68
07_2015,TN,H_RECMND,6,24,70
07_2015,TX,H_CLEAN_HSP,8,17,75
07_2015,TX,H_COMP_1,4,16,80
07_2015,TX,H_COMP_2,4,12,84
07_2015,TX,H_COMP_3,9,21,70
07_2015,TX,H_COMP_5,17,16,67
07_2015,TX,H_COMP_6,14,0,86
07_2015,TX,H_COMP_7,5,42,53
07_2015,TX,H_HSP_RATING,7,20,73
07_2015,TX,H_QUIET_HSP,7,24,69
07_2015,TX,H_RECMND,5,21,74
07_2015,UT,H_CLEAN_HSP,7,20,73
07_2015,UT,H_COMP_1,3,18,79
07_2015,UT,H_COMP_2,2,15,83
07_2015,UT,H_COMP_3,6,24,70
07_2015,UT,H_COMP_5,15,20,65
07_2015,UT,H_COMP_6,11,0,89
07_2015,UT,H_COMP_7,5,38,57
07_2015,UT,H_HSP_RATING,5,20,75
07_2015,UT,H_QUIET_HSP,6,31,63
07_2015,UT,H_RECMND,3,20,77
07_2015,VA,H_CLEAN_HSP,9,19,72
07_2015,VA,H_COMP_1,5,16,79
07_2015,VA,H_COMP_2,4,15,81
07_2015,VA,H_COMP_3,10,25,65
07_2015,VA,H_COMP_5,19,17,64
07_2015,VA,H_COMP_6,13,0,87
07_2015,VA,H_COMP_7,6,43,51
07_2015,VA,H_HSP_RATING,8,23,69
07_2015,VA,H_QUIET_HSP,10,29,61
07_2015,VA,H_RECMND,5,25,70
07_2015,VT,H_CLEAN_HSP,6,16,78
07_2015,VT,H_COMP_1,3,16,81
07_2015,VT,H_COMP_2,4,14,82
07_2015,VT,H_COMP_3,6,22,72
07_2015,VT,H_COMP_5,15,18,67
07_2015,VT,H_COMP_6,11,0,89
07_2015,VT,H_COMP_7,4,40,56
07_2015,VT,H_HSP_RATING,6,23,71
07_2015,VT,H_QUIET_HSP,11,35,54
07_2015,VT,H_RECMND,3,21,76
07_2015,WA,H_CLEAN_HSP,8,19,73
07_2015,WA,H_COMP_1,4,18,78
07_2015,WA,H_COMP_2,4,16,80
07_2015,WA,H_COMP_3,8,25,67
07_2015,WA,H_COMP_5,18,18,64
07_2015,WA,H_COMP_6,13,0,87
07_2015,WA,H_COMP_7,5,43,52
07_2015,WA,H_HSP_RATING,7,23,70
07_2015,WA,H_QUIET_HSP,11,33,56
07_2015,WA,H_RECMND,5,23,72
07_2015,WI,H_CLEAN_HSP,5,15,80
07_2015,WI,H_COMP_1,2,15,83
07_2015,WI,H_COMP_2,3,13,84
07_2015,WI,H_COMP_3,5,22,73
07_2015,WI,H_COMP_5,13,18,69
07_2015,WI,H_COMP_6,10,0,90
07_2015,WI,H_COMP_7,4,40,56
07_2015,WI,H_HSP_RATING,5,19,76
07_2015,WI,H_QUIET_HSP,7,28,65
07_2015,WI,H_RECMND,3,22,75
07_2015,WV,H_CLEAN_HSP,8,18,74
07_2015,WV,H_COMP_1,5,16,79
07_2015,WV,H_COMP_2,4,14,82
07_2015,WV,H_COMP_3,9,23,68
07_2015,WV,H_COMP_5,18,18,64
07_2015,WV,H_COMP_6,13,0,87
07_2015,WV,H_COMP_7,5,45,50
07_2015,WV,H_HSP_RATING,9,24,67
07_2015,WV,H_QUIET_HSP,10,31,59
07_2015,WV,H_RECMND,6,28,66
07_2015,WY,H_CLEAN_HSP,7,20,73
07_2015,WY,H_COMP_1,4,17,79
07_2015,WY,H_COMP_2,4,14,82
07_2015,WY,H_COMP_3,6,22,72
07_2015,WY,H_COMP_5,15,16,69
07_2015,WY,H_COMP_6,11,0,89
07_2015,WY,H_COMP_7,5,43,52
07_2015,WY,H_HSP_RATING,9,24,67
07_2015,WY,H_QUIET_HSP,7,32,61
07_2015,WY,H_RECMND,5,29,66
07_2016,AK,H_CLEAN_HSP,7,21,72
07_2016,AK,H_COMP_1,4,18,78
07_2016,AK,H_COMP_2,3,15,82
07_2016,AK,H_COMP_3,6,21,73
07_2016,AK,H_COMP_5,14,23,63
07_2016,AK,H_COMP_6,9,0,91
07_2016,AK,H_COMP_7,5,43,52
07_2016,AK,H_HSP_RATING,7,24,69
07_2016,AK,H_QUIET_HSP,8,34,58
07_2016,AK,H_RECMND,4,27,69
07_2016,AL,H_CLEAN_HSP,10,18,72
07_2016,AL,H_COMP_1,5,14,81
07_2016,AL,H_COMP_2,3,11,86
07_2016,AL,H_COMP_3,10,21,69
07_2016,AL,H_COMP_5,19,15,66
07_2016,AL,H_COMP_6,14,0,86
07_2016,AL,H_COMP_7,6,43,51
07_2016,AL,H_HSP_RATING,7,21,72
07_2016,AL,H_QUIET_HSP,6,22,72
07_2016,AL,H_RECMND,5,24,71
07_2016,AR,H_CLEAN_HSP,9,17,74
07_2016,AR,H_COMP_1,4,16,80
07_2016,AR,H_COMP_2,4,11,85
07_2016,AR,H_COMP_3,9,22,69
07_2016,AR,H_COMP_5,18,17,65
07_2016,AR,H_COMP_6,16,0,84
07_2016,AR,H_COMP_7,6,43,51
07_2016,AR,H_HSP_RATING,8,20,72
07_2016,AR,H_QUIET_HSP,7,26,67
07_2016,AR,H_RECMND,5,25,70
07_2016,AZ,H_CLEAN_HSP,10,20,70
07_2016,AZ,H_COMP_1,5,18,77
07_2016,AZ,H_COMP_2,5,18,77
07_2016,AZ,H_COMP_3,9,25,66
07_2016,AZ,H_COMP_5,18,18,64
07_2016,AZ,H_COMP_6,13,0,87
07_2016,AZ,H_COMP_7,7,43,50
07_2016,AZ,H_HSP_RATING,9,21,70
07_2016,AZ,H_QUIET_HSP,11,31,58
07_2016,AZ,H_RECMND,6,24,70
07_2016,CA,H_CLEAN_HSP,10,20,70
07_2016,CA,H_COMP_1,6,19,75
07_2016,CA,H_COMP_2,6,16,78
07_2016,CA,H_COMP_3,12,26,62
07_2016,CA,H_COMP_5,20,19,61
07_2016,CA,H_COMP_6,15,0,85
07_2016,CA,H_COMP_7,7,45,48
07_2016,CA,H_HSP_RATING,10,22,68
07_2016,CA,H_QUIET_HSP,16,33,51
07_2016,CA,H_RECMND,7,24,69
07_2016,CO,H_CLEAN_HSP,7,18,75
07_2016,CO,H_COMP_1,3,17,80
07_2016,CO,H_COMP_2,3,15,82
07_2016,CO,H_COMP_3,7,23,70
07_2016,CO,H_COMP_5,15,18,67
07_2016,CO,H_COMP_6,12,0,88
07_2016,CO,H_COMP_7,5,40,55
07_2016,CO,H_HSP_RATING,6,19,75
07_2016,CO,H_QUIET_HSP,6,29,65
07_2016,CO,H_RECMND,4,21,75
07_2016,CT,H_CLEAN_HSP,9,20,71
07_2016,CT,H_COMP_1,4,16,80
07_2016,CT,H_COMP_2,5,16,79
07_2016,CT,H_COMP_3,10,26,64
07_2016,CT,H_COMP_5,19,18,63
07_2016,CT,H_COMP_6,13,0,87
07_2016,CT,H_COMP_7,5,44,51
07_2016,CT,H_HSP_RATING,9,24,67
07_2016,CT,H_QUIET_HSP,15,33,52
07_2016,CT,H_RECMND,5,25,70
07_2016,DC,H_CLEAN_HSP,17,22,61
07_2016,DC,H_COMP_1,10,20,70
07_2016,DC,H_COMP_2,6,17,77
07_2016,DC,H_COMP_3,19,29,52
07_2016,DC,H_COMP_5,26,19,55
07_2016,DC,H_COMP_6,19,0,81
07_2016,DC,H_COMP_7,9,49,42
07_2016,DC,H_HSP_RATING,14,28,58
07_2016,DC,H_QUIET_HSP,16,30,54
07_2016,DC,H_RECMND,10,30,60
07_2016,DE,H_CLEAN_HSP,9,21,70
07_2016,DE,H_COMP_1,4,16,80
07_2016,DE,H_COMP_2,5,16,79
07_2016,DE,H_COMP_3,8,24,68
07_2016,DE,H_COMP_5,20,16,64
07_2016,DE,H_COMP_6,13,0,87
07_2016,DE,H_COMP_7,5,43,52
07_2016,DE,H_HSP_RATING,9,21,70
07_2016,DE,H_QUIET_HSP,11,33,56
07_2016,DE,H_RECMND,5,26,69
07_2016,FL,H_CLEAN_HSP,11,20,69
07_2016,FL,H_COMP_1,6,18,76
07_2016,FL,H_COMP_2,6,16,78
07_2016,FL,H_COMP_3,12,25,63
07_2016,FL,H_COMP_5,21,17,62
07_2016,FL,H_COMP_6,16,0,84
07_2016,FL,H_COMP_7,7,44,49
07_2016,FL,H_HSP_RATING,10,22,68
