SURVEY_NAME,QUESTION_ID,QUESTION_TXT,ANSWER_TXT,NUM_RESPONSES,TOTAL_RESPONSES
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"Although i put neutral, i was notified of the audit and agreed upon a date.  I never heard anything else, no reminder or anything prior to the date of the audit although it was a month later.  Everything went good but i feel a reminder would be better served for all parties.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Answered all my questions.  Was very helpful.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Appreciate the abbreviated process and efficiency of your auditor,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,As of this Survey 4/5/21 we have not received in writing the outcome of the Audit & was told we would,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"As someone who performed this audit for the very first time, no previous BWC audit experience, I felt I provided what was asked of me in the letter only to find out after a couple phone calls that I had not provided accurate information.  The auditor was helpful but this whole process was confusing and I am still needing to further educate myself on what is considered gross wages/caps/pretax deductions.  This was the most frustrating part of the audit.  I felt I was providing full and accurate information only to learn I had not.  Secondly, the letter arrived just days before the Christmas holiday and was requested to be completed in 10 days.  I did ask for an extension and that was acknowledged however, common sense should have been in place with the timing of this request.  Year End in general for most businesses is very hectic at best.  Add in Christmas and New Years and throw an audit due in 10 days is the absolute worst timing possible.  Just my honest opinion.  I see no reason what so ever why this audit needed to take place at this time.   Mid January would have been much better timing and I feel other business would agree with me.  Finally, I feel additional education needs to be made available.  As I tried to research some of the things the auditor was telling me I had a hard time finding definite answers or direction.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"At this time, nothing has been received in writing and I do not know if everything has been resolved.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"Audit letter had many misspellings and grammar issues.  This is only the first time I've had the responsibility of handling this, but there was very little context in the emails sent pertaining to the audit.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Audit notification letter contained both a phone number and an email address to contact BWC to schedule the examination.  The BWC email address would not accept my emails.  The phone number indicated the scheduler was working remotely.  Had to contact a BWC auditor directly to schedule the exam.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Auditor did a great job of answering all my questions.  Helped me better understand how to rate specific employees.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"Auditor did not have a grasp of how our industry works and attempted to change classifications of people which would have resulted in 'under reporting' of employees. The reality is that due to government payouts to prevent people from working during the pandemic, not only did we lose employees from the pandemic scare, now we cannot get new employees unless they are young and not already drawing unemployment. This has been the worst two years of our ten years keeping this business going.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Auditor knowledgeable and helpful,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Auditor was excellent. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Auditor was excellent. Very knowledgeable and helpful.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"Auditor was great, easy to understand the questions.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"Auditor was not responsive to questions in the lead up to the audit. He also did not understand the process of uploading W2s electronically to SSA, which is the recommended and standard practice. That results in not having a paper W3 on hand. I had to spend a lot of time explaining and showing how the documentation provided by SSA satisfies his request. ",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"Auditor was professional, courteous, responsive, and educated me on church pastors and the U3 filing required, what to do from here, etc.  10/10 is my vote for the auditor",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"Auditor was professional, well versed, and helpful.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Auditor was very knowledgeable and personable.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Audits need to be done electronically. Pennsylvania does them via email or document upload. It works well and takes less time. It's 2022!,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"BWC needs to utilize electronic communication for scheduling and for making contact for these.  The audit manager made a telephone call to me months in advance.  I wrote down the date and time, but not the auditors name (which we may have not known at the time).  No information was provided to me with regards to what was being audited.  I had to email another public employer to get an auditor's email address.  It just happened to be the same person auditing my school district.    ",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Barb Pesta was exceptionally responsive and helpful during the audit. I TRULY enjoyed working with her. She is professional and quite thorough!,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Because this was not an in person audit my time spent was far too long.  ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Being a new Township Fiscal Officer the auditor was very helpful.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Being my first audit I have no comparisons.  I cannot think of any improvements I would like to see.  Good job!,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"Being new to my position, the auditor was patient with my questions and was able to explain ",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,COMMUNICATION FROM YOUR COMPANY WAS NOT GOOD.  ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,COUDNT UNDERSTAND THE MAN WHO WAS IN CONTACT WITH US.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Changes in what's being asked for and how calcuations are being done caused lots of extra work,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Cordial. Professional. Great contact. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Dawn was excellent to work with. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Dawn was so kind and was clearly here to help. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Dawn was very helpful in explaining what she needed as this was my first audit and we had just switched from a PEO who had handled BWC during the audit time period.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,EVERYTHING WAS EXCELLENT,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,EVERYTHING WENT GREAT AND SHE HELP TO UNDER STAND THINGS BETTER,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Easy experience.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Everything went smoothly & with ease,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Excellent auditor. Explained the issues and how to correct. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Experience went well.  I received something from the bureau but not sure it was written instructions or findings being referred to above.   ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,First audit personally with OH BWC and was super impressed.  Barb was wonderful and assisted me throughout the process,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Good experence.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Good job,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Great customer service....made the process very quick and easy!,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,Gretchen spent enough time with me to complete the audit in a timely manner. She was very patient with me. She kept in close communication throughout the process through emails and phone calls. I appreciated her time and patience.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"He did a great job and was very pleasant.  I have to say I was a little apprehensive, but he made the entire process simple.  I really appreciate that.  ",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,He explained everything in detail to correct my processes.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,He was excellent.  I thought he was an excellent auditor.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,He was professional and courteous. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"He was so nice and helpful to me as someone who had never been through the audit before - he patiently answered all my questions, even the dumb ones. :)",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,He was very nice and made me feel comfortable.  Answered all of my questions thoroughly!,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,His command of the English language was poor and his ability to effectively communicate what was necessary was horrible.  I am sure he was knowledgeable but his ability to effectively communicate poor.....,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I DON'T REMEMBER HOW MUCH TIME IT TOOK ON QUESTION 2.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I Still don t Understand how the sudtemwodks,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I am very satisfied they was really patient with me because I do not have internet service and they gave me time to get the information submitted.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I asked an important question and never received an answer or response.  I emailed the auditor again today about it (10/04/21),1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"I called to set up audit & rec'd voicemail that said email is best.  Left message & sent email, both included my office hours.  Called outside of my hours & was very rude to my employee & said I was not making any contact.  Completely untrue & she admitted she had rec'd both my messages when I called her out.  Very unprofessional to be rude, especially when I did exactly what I was told.  Also, like to note not all co's are available at 9am or 1 pm only!",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I did leave several messages without a response,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"I did not complete any audit, and I was not questioned about any audit.  I was waiting for a true-up to close my account.  I am totally unaware of a premium audit",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I did not receive a final report of any sort,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I didn't hear back about the results of the audit but they may have been discussed with the office manager at Joe Koch Construction. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I didn't know the audit was finished....,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I do not remember having a conversation with anyone in regard to our audit. I believe all that I did was send in a paper with my contact info.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"I dont recall if we had a written schedule of findings, but questions were asked via telephone",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"I felt like I was following up with him to move it forward, but then would get rapid responses that would say we are behind schedule. Did not receive clear communication throughout regarding the process overall, instructions, and our timeline. ",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"I felt like my company is being audited unnecessarily.  We have been in business for 75 years and have always been extremely honest.  Now I feel like the Bureau is looking for ways to make more money.  I now have 2 additional items to pay and that makes it difficult in these hard pandemic times.  Supposedly, the Bureau has overlooked something that I should have been paying for the past 75 years!  Really?  It took the Bureau 75 years to find its mistake?  ",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I felt that all the information asked for was just what I expected and the auditor was very well versed and patient if I did not understand something - this was very painless.  ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"I felt that the entire process was poorly handled - getting a cold call at lunch time from someone I have never heard of telling me they are from BWC and then immediately starting the audit was very unprofessional.  I was asked quite targeted question about my business which only seemed to give her the answer she wanted, without any information in front of me as to what she was talking about.  When I finally said she needed to email everything to me before I could continue, she did do that, but when I call her back to question why she had made the decision she had, as it did not make sense to me, she treated me as if I were on trial and keep arguing with me that my points were invalid.  I still do not understand the reasoning to my classification change, but I guess my workers comp is going up anyway.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I filled out the information and the auditor called me back and said he had enough information for me and that s the last I heard of it. ,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I have ask Rick to fix the findings because there is an error in his findings To this date I have asked no less than 3 times without a response.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I have not received the final report as of 5/12/22,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I have reached out multiple times to get information on when our portal will be updated with the new policy premium value and get no response.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I have worked with Lee on an audit in 2017 and he was just as awesome then as he is now.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I just haven't received my final report yet in the mail. That is the only thing negative I would even say,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"I just was not informed of the findings. Other than that, it was quick and painless.",1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,I never heard anything after submitting the reports. I didn't know it was completed.,1,314
Ohio Bureau of Workers' Compensation Employer Audit Survey,605148551,Please elaborate on any responses of Poor or Very Poor or Unsatisfied or Very Unsatisfied.,"I really have not heard anything back in writing that something needs changed, so I am going on if you do not hear anything, I must have done ok and keep doing the same way.   It would be nice to get an email to let me know if I need to change anything or if I keep doing the same way.",1,314
